#Time=   0.360000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.218002E-01   0.217981E-01   0.200000E-01   0.218002E-01   0.217981E-01
   0.400000E-01   0.435934E-01   0.435892E-01   0.400000E-01   0.435934E-01   0.435892E-01
   0.600000E-01   0.653723E-01   0.653660E-01   0.600000E-01   0.653723E-01   0.653660E-01
   0.800000E-01   0.871300E-01   0.871217E-01   0.800000E-01   0.871300E-01   0.871217E-01
   0.100000       0.108860       0.108849       0.100000       0.108860       0.108849    
   0.120000       0.130554       0.130542       0.120000       0.130554       0.130542    
   0.140000       0.152207       0.152193       0.140000       0.152207       0.152193    
   0.160000       0.173812       0.173796       0.160000       0.173812       0.173796    
   0.180000       0.195362       0.195344       0.180000       0.195362       0.195344    
   0.200000       0.216852       0.216832       0.200000       0.216852       0.216832    
   0.220000       0.238275       0.238254       0.220000       0.238275       0.238254    
   0.240000       0.259626       0.259603       0.240000       0.259626       0.259603    
   0.260000       0.280900       0.280875       0.260000       0.280900       0.280875    
   0.280000       0.302091       0.302065       0.280000       0.302091       0.302065    
   0.300000       0.323195       0.323168       0.300000       0.323195       0.323168    
   0.320000       0.344207       0.344179       0.320000       0.344207       0.344179    
   0.340000       0.365124       0.365095       0.340000       0.365124       0.365095    
   0.360000       0.385942       0.385911       0.360000       0.385942       0.385911    
   0.380000       0.406657       0.406626       0.380000       0.406657       0.406626    
   0.400000       0.427267       0.427235       0.400000       0.427267       0.427235    
   0.420000       0.447770       0.447737       0.420000       0.447770       0.447737    
   0.440000       0.468163       0.468130       0.440000       0.468163       0.468130    
   0.460000       0.488444       0.488411       0.460000       0.488444       0.488411    
   0.480000       0.508614       0.508580       0.480000       0.508614       0.508580    
   0.500000       0.528670       0.528637       0.500000       0.528670       0.528637    
   0.520000       0.548614       0.548580       0.520000       0.548614       0.548580    
   0.540000       0.568444       0.568411       0.540000       0.568444       0.568411    
   0.560000       0.588163       0.588130       0.560000       0.588163       0.588130    
   0.580000       0.607770       0.607737       0.580000       0.607770       0.607737    
   0.600000       0.627267       0.627235       0.600000       0.627267       0.627235    
   0.620000       0.646657       0.646626       0.620000       0.646657       0.646626    
   0.640000       0.665942       0.665911       0.640000       0.665942       0.665911    
   0.660000       0.685124       0.685095       0.660000       0.685124       0.685095    
   0.680000       0.704207       0.704179       0.680000       0.704207       0.704179    
   0.700000       0.723195       0.723168       0.700000       0.723195       0.723168    
   0.720000       0.742091       0.742065       0.720000       0.742091       0.742065    
   0.740000       0.760900       0.760875       0.740000       0.760900       0.760875    
   0.760000       0.779626       0.779603       0.760000       0.779626       0.779603    
   0.780000       0.798275       0.798254       0.780000       0.798275       0.798254    
   0.800000       0.816852       0.816832       0.800000       0.816852       0.816832    
   0.820000       0.835362       0.835344       0.820000       0.835362       0.835344    
   0.840000       0.853812       0.853796       0.840000       0.853812       0.853796    
   0.860000       0.872207       0.872193       0.860000       0.872207       0.872193    
   0.880000       0.890554       0.890542       0.880000       0.890554       0.890542    
   0.900000       0.908860       0.908849       0.900000       0.908860       0.908849    
   0.920000       0.927130       0.927122       0.920000       0.927130       0.927122    
   0.940000       0.945372       0.945366       0.940000       0.945372       0.945366    
   0.960000       0.963593       0.963589       0.960000       0.963593       0.963589    
   0.980000       0.981800       0.981798       0.980000       0.981800       0.981798    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
