#Time=   0.700000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200627E-01   0.200627E-01   0.200000E-01   0.200627E-01   0.200627E-01
   0.400000E-01   0.401251E-01   0.401252E-01   0.400000E-01   0.401251E-01   0.401252E-01
   0.600000E-01   0.601870E-01   0.601872E-01   0.600000E-01   0.601870E-01   0.601872E-01
   0.800000E-01   0.802482E-01   0.802484E-01   0.800000E-01   0.802482E-01   0.802484E-01
   0.100000       0.100308       0.100309       0.100000       0.100308       0.100309    
   0.120000       0.120367       0.120368       0.120000       0.120367       0.120368    
   0.140000       0.140425       0.140425       0.140000       0.140425       0.140425    
   0.160000       0.160481       0.160481       0.160000       0.160481       0.160481    
   0.180000       0.180535       0.180535       0.180000       0.180535       0.180535    
   0.200000       0.200587       0.200587       0.200000       0.200587       0.200587    
   0.220000       0.220636       0.220637       0.220000       0.220636       0.220637    
   0.240000       0.240683       0.240684       0.240000       0.240683       0.240684    
   0.260000       0.260727       0.260728       0.260000       0.260727       0.260728    
   0.280000       0.280769       0.280770       0.280000       0.280769       0.280770    
   0.300000       0.300807       0.300808       0.300000       0.300807       0.300808    
   0.320000       0.320843       0.320844       0.320000       0.320843       0.320844    
   0.340000       0.340874       0.340875       0.340000       0.340874       0.340875    
   0.360000       0.360903       0.360904       0.360000       0.360903       0.360904    
   0.380000       0.380928       0.380929       0.380000       0.380928       0.380929    
   0.400000       0.400949       0.400950       0.400000       0.400949       0.400950    
   0.420000       0.420967       0.420968       0.420000       0.420967       0.420968    
   0.440000       0.440980       0.440981       0.440000       0.440980       0.440981    
   0.460000       0.460990       0.460991       0.460000       0.460990       0.460991    
   0.480000       0.480996       0.480997       0.480000       0.480996       0.480997    
   0.500000       0.500998       0.500999       0.500000       0.500998       0.500999    
   0.520000       0.520996       0.520997       0.520000       0.520996       0.520997    
   0.540000       0.540990       0.540991       0.540000       0.540990       0.540991    
   0.560000       0.560980       0.560981       0.560000       0.560980       0.560981    
   0.580000       0.580967       0.580968       0.580000       0.580967       0.580968    
   0.600000       0.600949       0.600950       0.600000       0.600949       0.600950    
   0.620000       0.620928       0.620929       0.620000       0.620928       0.620929    
   0.640000       0.640903       0.640904       0.640000       0.640903       0.640904    
   0.660000       0.660874       0.660875       0.660000       0.660874       0.660875    
   0.680000       0.680843       0.680844       0.680000       0.680843       0.680844    
   0.700000       0.700807       0.700808       0.700000       0.700807       0.700808    
   0.720000       0.720769       0.720770       0.720000       0.720769       0.720770    
   0.740000       0.740727       0.740728       0.740000       0.740727       0.740728    
   0.760000       0.760683       0.760684       0.760000       0.760683       0.760684    
   0.780000       0.780636       0.780637       0.780000       0.780636       0.780637    
   0.800000       0.800587       0.800587       0.800000       0.800587       0.800587    
   0.820000       0.820535       0.820535       0.820000       0.820535       0.820535    
   0.840000       0.840481       0.840481       0.840000       0.840481       0.840481    
   0.860000       0.860425       0.860425       0.860000       0.860425       0.860425    
   0.880000       0.880367       0.880368       0.880000       0.880367       0.880368    
   0.900000       0.900308       0.900309       0.900000       0.900308       0.900309    
   0.920000       0.920248       0.920248       0.920000       0.920248       0.920248    
   0.940000       0.940187       0.940187       0.940000       0.940187       0.940187    
   0.960000       0.960125       0.960125       0.960000       0.960125       0.960125    
   0.980000       0.980063       0.980063       0.980000       0.980063       0.980063    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
