#Time=   0.900000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200087E-01   0.200087E-01   0.200000E-01   0.200087E-01   0.200087E-01
   0.400000E-01   0.400174E-01   0.400174E-01   0.400000E-01   0.400174E-01   0.400174E-01
   0.600000E-01   0.600260E-01   0.600260E-01   0.600000E-01   0.600260E-01   0.600260E-01
   0.800000E-01   0.800345E-01   0.800345E-01   0.800000E-01   0.800345E-01   0.800345E-01
   0.100000       0.100043       0.100043       0.100000       0.100043       0.100043    
   0.120000       0.120051       0.120051       0.120000       0.120051       0.120051    
   0.140000       0.140059       0.140059       0.140000       0.140059       0.140059    
   0.160000       0.160067       0.160067       0.160000       0.160067       0.160067    
   0.180000       0.180074       0.180074       0.180000       0.180074       0.180074    
   0.200000       0.200081       0.200082       0.200000       0.200081       0.200082    
   0.220000       0.220088       0.220088       0.220000       0.220088       0.220088    
   0.240000       0.240095       0.240095       0.240000       0.240095       0.240095    
   0.260000       0.260101       0.260101       0.260000       0.260101       0.260101    
   0.280000       0.280107       0.280107       0.280000       0.280107       0.280107    
   0.300000       0.300112       0.300112       0.300000       0.300112       0.300112    
   0.320000       0.320117       0.320117       0.320000       0.320117       0.320117    
   0.340000       0.340121       0.340122       0.340000       0.340121       0.340122    
   0.360000       0.360125       0.360126       0.360000       0.360125       0.360126    
   0.380000       0.380129       0.380129       0.380000       0.380129       0.380129    
   0.400000       0.400132       0.400132       0.400000       0.400132       0.400132    
   0.420000       0.420134       0.420134       0.420000       0.420134       0.420134    
   0.440000       0.440136       0.440136       0.440000       0.440136       0.440136    
   0.460000       0.460137       0.460138       0.460000       0.460137       0.460138    
   0.480000       0.480138       0.480139       0.480000       0.480138       0.480139    
   0.500000       0.500139       0.500139       0.500000       0.500139       0.500139    
   0.520000       0.520138       0.520139       0.520000       0.520138       0.520139    
   0.540000       0.540137       0.540138       0.540000       0.540137       0.540138    
   0.560000       0.560136       0.560136       0.560000       0.560136       0.560136    
   0.580000       0.580134       0.580134       0.580000       0.580134       0.580134    
   0.600000       0.600132       0.600132       0.600000       0.600132       0.600132    
   0.620000       0.620129       0.620129       0.620000       0.620129       0.620129    
   0.640000       0.640125       0.640126       0.640000       0.640125       0.640126    
   0.660000       0.660121       0.660122       0.660000       0.660121       0.660122    
   0.680000       0.680117       0.680117       0.680000       0.680117       0.680117    
   0.700000       0.700112       0.700112       0.700000       0.700112       0.700112    
   0.720000       0.720107       0.720107       0.720000       0.720107       0.720107    
   0.740000       0.740101       0.740101       0.740000       0.740101       0.740101    
   0.760000       0.760095       0.760095       0.760000       0.760095       0.760095    
   0.780000       0.780088       0.780088       0.780000       0.780088       0.780088    
   0.800000       0.800081       0.800082       0.800000       0.800081       0.800082    
   0.820000       0.820074       0.820074       0.820000       0.820074       0.820074    
   0.840000       0.840067       0.840067       0.840000       0.840067       0.840067    
   0.860000       0.860059       0.860059       0.860000       0.860059       0.860059    
   0.880000       0.880051       0.880051       0.880000       0.880051       0.880051    
   0.900000       0.900043       0.900043       0.900000       0.900043       0.900043    
   0.920000       0.920034       0.920035       0.920000       0.920034       0.920035    
   0.940000       0.940026       0.940026       0.940000       0.940026       0.940026    
   0.960000       0.960017       0.960017       0.960000       0.960017       0.960017    
   0.980000       0.980009       0.980009       0.980000       0.980009       0.980009    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
