#Time=   0.800000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200236E-01   0.200234E-01   0.200000E-01   0.200236E-01   0.200234E-01
   0.400000E-01   0.400472E-01   0.400467E-01   0.400000E-01   0.400472E-01   0.400467E-01
   0.600000E-01   0.600705E-01   0.600698E-01   0.600000E-01   0.600705E-01   0.600698E-01
   0.800000E-01   0.800936E-01   0.800926E-01   0.800000E-01   0.800936E-01   0.800926E-01
   0.100000       0.100116       0.100115       0.100000       0.100116       0.100115    
   0.120000       0.120138       0.120137       0.120000       0.120138       0.120137    
   0.140000       0.140160       0.140159       0.140000       0.140160       0.140159    
   0.160000       0.160181       0.160179       0.160000       0.160181       0.160179    
   0.180000       0.180202       0.180200       0.180000       0.180202       0.180200    
   0.200000       0.200221       0.200219       0.200000       0.200221       0.200219    
   0.220000       0.220240       0.220237       0.220000       0.220240       0.220237    
   0.240000       0.240258       0.240255       0.240000       0.240258       0.240255    
   0.260000       0.260274       0.260271       0.260000       0.260274       0.260271    
   0.280000       0.280290       0.280287       0.280000       0.280290       0.280287    
   0.300000       0.300304       0.300301       0.300000       0.300304       0.300301    
   0.320000       0.320318       0.320314       0.320000       0.320318       0.320314    
   0.340000       0.340330       0.340326       0.340000       0.340330       0.340326    
   0.360000       0.360340       0.360337       0.360000       0.360340       0.360337    
   0.380000       0.380350       0.380346       0.380000       0.380350       0.380346    
   0.400000       0.400358       0.400354       0.400000       0.400358       0.400354    
   0.420000       0.420364       0.420361       0.420000       0.420364       0.420361    
   0.440000       0.440370       0.440366       0.440000       0.440370       0.440366    
   0.460000       0.460373       0.460369       0.460000       0.460373       0.460369    
   0.480000       0.480375       0.480372       0.480000       0.480375       0.480372    
   0.500000       0.500376       0.500372       0.500000       0.500376       0.500372    
   0.520000       0.520375       0.520372       0.520000       0.520375       0.520372    
   0.540000       0.540373       0.540369       0.540000       0.540373       0.540369    
   0.560000       0.560370       0.560366       0.560000       0.560370       0.560366    
   0.580000       0.580364       0.580361       0.580000       0.580364       0.580361    
   0.600000       0.600358       0.600354       0.600000       0.600358       0.600354    
   0.620000       0.620350       0.620346       0.620000       0.620350       0.620346    
   0.640000       0.640340       0.640337       0.640000       0.640340       0.640337    
   0.660000       0.660330       0.660326       0.660000       0.660330       0.660326    
   0.680000       0.680318       0.680314       0.680000       0.680318       0.680314    
   0.700000       0.700304       0.700301       0.700000       0.700304       0.700301    
   0.720000       0.720290       0.720287       0.720000       0.720290       0.720287    
   0.740000       0.740274       0.740271       0.740000       0.740274       0.740271    
   0.760000       0.760258       0.760255       0.760000       0.760258       0.760255    
   0.780000       0.780240       0.780237       0.780000       0.780240       0.780237    
   0.800000       0.800221       0.800219       0.800000       0.800221       0.800219    
   0.820000       0.820202       0.820200       0.820000       0.820202       0.820200    
   0.840000       0.840181       0.840179       0.840000       0.840181       0.840179    
   0.860000       0.860160       0.860159       0.860000       0.860160       0.860159    
   0.880000       0.880138       0.880137       0.880000       0.880138       0.880137    
   0.900000       0.900116       0.900115       0.900000       0.900116       0.900115    
   0.920000       0.920094       0.920093       0.920000       0.920094       0.920093    
   0.940000       0.940070       0.940070       0.940000       0.940070       0.940070    
   0.960000       0.960047       0.960047       0.960000       0.960047       0.960047    
   0.980000       0.980024       0.980023       0.980000       0.980024       0.980023    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
