#Time=   0.360000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.217939E-01   0.217981E-01   0.200000E-01   0.217939E-01   0.217981E-01
   0.400000E-01   0.435808E-01   0.435892E-01   0.400000E-01   0.435808E-01   0.435892E-01
   0.600000E-01   0.653535E-01   0.653660E-01   0.600000E-01   0.653535E-01   0.653660E-01
   0.800000E-01   0.871051E-01   0.871217E-01   0.800000E-01   0.871051E-01   0.871217E-01
   0.100000       0.108829       0.108849       0.100000       0.108829       0.108849    
   0.120000       0.130517       0.130542       0.120000       0.130517       0.130542    
   0.140000       0.152165       0.152193       0.140000       0.152165       0.152193    
   0.160000       0.173764       0.173796       0.160000       0.173764       0.173796    
   0.180000       0.195309       0.195344       0.180000       0.195309       0.195344    
   0.200000       0.216793       0.216832       0.200000       0.216793       0.216832    
   0.220000       0.238211       0.238254       0.220000       0.238211       0.238254    
   0.240000       0.259558       0.259603       0.240000       0.259558       0.259603    
   0.260000       0.280827       0.280875       0.260000       0.280827       0.280875    
   0.280000       0.302014       0.302065       0.280000       0.302014       0.302065    
   0.300000       0.323114       0.323168       0.300000       0.323114       0.323168    
   0.320000       0.344122       0.344179       0.320000       0.344122       0.344179    
   0.340000       0.365036       0.365095       0.340000       0.365036       0.365095    
   0.360000       0.385851       0.385911       0.360000       0.385851       0.385911    
   0.380000       0.406564       0.406626       0.380000       0.406564       0.406626    
   0.400000       0.427172       0.427235       0.400000       0.427172       0.427235    
   0.420000       0.447672       0.447737       0.420000       0.447672       0.447737    
   0.440000       0.468064       0.468130       0.440000       0.468064       0.468130    
   0.460000       0.488345       0.488411       0.460000       0.488345       0.488411    
   0.480000       0.508514       0.508580       0.480000       0.508514       0.508580    
   0.500000       0.528570       0.528637       0.500000       0.528570       0.528637    
   0.520000       0.548514       0.548580       0.520000       0.548514       0.548580    
   0.540000       0.568345       0.568411       0.540000       0.568345       0.568411    
   0.560000       0.588064       0.588130       0.560000       0.588064       0.588130    
   0.580000       0.607672       0.607737       0.580000       0.607672       0.607737    
   0.600000       0.627172       0.627235       0.600000       0.627172       0.627235    
   0.620000       0.646564       0.646626       0.620000       0.646564       0.646626    
   0.640000       0.665851       0.665911       0.640000       0.665851       0.665911    
   0.660000       0.685036       0.685095       0.660000       0.685036       0.685095    
   0.680000       0.704122       0.704179       0.680000       0.704122       0.704179    
   0.700000       0.723114       0.723168       0.700000       0.723114       0.723168    
   0.720000       0.742014       0.742065       0.720000       0.742014       0.742065    
   0.740000       0.760827       0.760875       0.740000       0.760827       0.760875    
   0.760000       0.779558       0.779603       0.760000       0.779558       0.779603    
   0.780000       0.798211       0.798254       0.780000       0.798211       0.798254    
   0.800000       0.816793       0.816832       0.800000       0.816793       0.816832    
   0.820000       0.835309       0.835344       0.820000       0.835309       0.835344    
   0.840000       0.853764       0.853796       0.840000       0.853764       0.853796    
   0.860000       0.872165       0.872193       0.860000       0.872165       0.872193    
   0.880000       0.890517       0.890542       0.880000       0.890517       0.890542    
   0.900000       0.908829       0.908849       0.900000       0.908829       0.908849    
   0.920000       0.927105       0.927122       0.920000       0.927105       0.927122    
   0.940000       0.945353       0.945366       0.940000       0.945353       0.945366    
   0.960000       0.963581       0.963589       0.960000       0.963581       0.963589    
   0.980000       0.981794       0.981798       0.980000       0.981794       0.981798    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
