#Time=   0.280000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.239531E-01   0.239603E-01   0.200000E-01   0.239531E-01   0.239603E-01
   0.400000E-01   0.478906E-01   0.479049E-01   0.400000E-01   0.478906E-01   0.479049E-01
   0.600000E-01   0.717969E-01   0.718184E-01   0.600000E-01   0.717969E-01   0.718184E-01
   0.800000E-01   0.956567E-01   0.956852E-01   0.800000E-01   0.956567E-01   0.956852E-01
   0.100000       0.119455       0.119490       0.100000       0.119455       0.119490    
   0.120000       0.143176       0.143218       0.120000       0.143176       0.143218    
   0.140000       0.166806       0.166854       0.140000       0.166806       0.166854    
   0.160000       0.190330       0.190385       0.160000       0.190330       0.190385    
   0.180000       0.213734       0.213795       0.180000       0.213734       0.213795    
   0.200000       0.237005       0.237072       0.200000       0.237005       0.237072    
   0.220000       0.260130       0.260203       0.220000       0.260130       0.260203    
   0.240000       0.283097       0.283175       0.240000       0.283097       0.283175    
   0.260000       0.305893       0.305977       0.260000       0.305893       0.305977    
   0.280000       0.328509       0.328597       0.280000       0.328509       0.328597    
   0.300000       0.350933       0.351026       0.300000       0.350933       0.351026    
   0.320000       0.373156       0.373253       0.320000       0.373156       0.373253    
   0.340000       0.395169       0.395270       0.340000       0.395169       0.395270    
   0.360000       0.416965       0.417069       0.360000       0.416965       0.417069    
   0.380000       0.438536       0.438642       0.380000       0.438536       0.438642    
   0.400000       0.459875       0.459984       0.400000       0.459875       0.459984    
   0.420000       0.480979       0.481090       0.420000       0.480979       0.481090    
   0.440000       0.501841       0.501954       0.440000       0.501841       0.501954    
   0.460000       0.522460       0.522574       0.460000       0.522460       0.522574    
   0.480000       0.542832       0.542947       0.480000       0.542832       0.542947    
   0.500000       0.562957       0.563071       0.500000       0.562957       0.563071    
   0.520000       0.582832       0.582947       0.520000       0.582832       0.582947    
   0.540000       0.602460       0.602574       0.540000       0.602460       0.602574    
   0.560000       0.621841       0.621954       0.560000       0.621841       0.621954    
   0.580000       0.640979       0.641090       0.580000       0.640979       0.641090    
   0.600000       0.659875       0.659984       0.600000       0.659875       0.659984    
   0.620000       0.678536       0.678642       0.620000       0.678536       0.678642    
   0.640000       0.696965       0.697069       0.640000       0.696965       0.697069    
   0.660000       0.715169       0.715270       0.660000       0.715169       0.715270    
   0.680000       0.733156       0.733253       0.680000       0.733156       0.733253    
   0.700000       0.750933       0.751026       0.700000       0.750933       0.751026    
   0.720000       0.768509       0.768597       0.720000       0.768509       0.768597    
   0.740000       0.785893       0.785977       0.740000       0.785893       0.785977    
   0.760000       0.803097       0.803175       0.760000       0.803097       0.803175    
   0.780000       0.820130       0.820203       0.780000       0.820130       0.820203    
   0.800000       0.837005       0.837072       0.800000       0.837005       0.837072    
   0.820000       0.853734       0.853795       0.820000       0.853734       0.853795    
   0.840000       0.870330       0.870385       0.840000       0.870330       0.870385    
   0.860000       0.886806       0.886854       0.860000       0.886806       0.886854    
   0.880000       0.903176       0.903218       0.880000       0.903176       0.903218    
   0.900000       0.919455       0.919490       0.900000       0.919455       0.919490    
   0.920000       0.935657       0.935685       0.920000       0.935657       0.935685    
   0.940000       0.951797       0.951818       0.940000       0.951797       0.951818    
   0.960000       0.967891       0.967905       0.960000       0.967891       0.967905    
   0.980000       0.983953       0.983960       0.980000       0.983953       0.983960    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
